date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:44	126/126	---M--	200	added ('OK')	text/plain	etag:%22e1d931c94fed9f40568157b5dee82010%22	https://agrawalpratham.in/robots.txt		(from )
12:13:45	29259/29259	---MCZ	200	added ('OK')	text/html	etag:W/%229326ba269ccd8e6109db779c6501b6d0%22	https://agrawalpratham.in/	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/index.html	(from )
12:13:45	9080/9080	---M--	200	added ('OK')	image/png	etag:%227441acb080bcb33f6fda077ee8e7b2cd%22	https://agrawalpratham.in/apple-touch-icon.png	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/apple-touch-icon.png	(from https://agrawalpratham.in/)
12:13:45	1544/1544	---M--	200	added ('OK')	image/png	etag:%222ad7eb86a8a76ad4802f5b018a1c83f2%22	https://agrawalpratham.in/favicon-32x32.png	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/favicon-32x32.png	(from https://agrawalpratham.in/)
12:13:46	941/941	---M--	200	added ('OK')	image/png	etag:%225766514f11b0ee865c2a10233dda0452%22	https://agrawalpratham.in/favicon-16x16.png	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/favicon-16x16.png	(from https://agrawalpratham.in/)
12:13:46	670/670	---M--	200	added ('OK')	application/manifest+json	etag:%228a2e0dadbabe336491d089865d31baed%22	https://agrawalpratham.in/site.webmanifest	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/site.webmanifest	(from https://agrawalpratham.in/)
12:13:47	603/603	---M--	200	added ('OK')	image/svg+xml	etag:%2289afc2e131fa67f898d0f7555ad3cbb2%22	https://agrawalpratham.in/safari-pinned-tab.svg	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/safari-pinned-tab.svg	(from https://agrawalpratham.in/)
12:13:47	556248/556248	---M--	200	added ('OK')	image/png	etag:%2252be10191fbbfeeec3968e44aa415f67%22	https://agrawalpratham.in/assets/png/og_img.png	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/assets/png/og_img.png	(from https://agrawalpratham.in/)
12:13:48	16853/16853	---MCZ	200	added ('OK')	text/css	etag:W/%22ccd7a44e5993e5866016c9658c5a089b%22	https://agrawalpratham.in/_next/static/css/0980a3606f9fcba6.css	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/css/0980a3606f9fcba6.css	(from https://agrawalpratham.in/)
12:13:48	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://agrawalpratham.in/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://agrawalpratham.in/)
12:13:49	2275/2275	---MCZ	200	added ('OK')	application/javascript	etag:W/%2239caad08c0808ef668d52dee2037c38c%22	https://agrawalpratham.in/_next/static/chunks/webpack-c4acd79e87956a0e.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/webpack-c4acd79e87956a0e.js	(from https://agrawalpratham.in/)
12:13:49	140942/140942	---MCZ	200	added ('OK')	application/javascript	etag:W/%226467a3dbdbf4c598f8e58e4219209026%22	https://agrawalpratham.in/_next/static/chunks/framework-ecc4130bc7a58a64.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/framework-ecc4130bc7a58a64.js	(from https://agrawalpratham.in/)
12:13:50	109836/109836	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd0b6be1f1053f1aa18815feced9d13%22	https://agrawalpratham.in/_next/static/chunks/main-ac52e5f1ea1d2a16.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/main-ac52e5f1ea1d2a16.js	(from https://agrawalpratham.in/)
12:13:50	13799/13799	---MCZ	200	added ('OK')	application/javascript	etag:W/%22350a9f228fb0f7fa6c323ffc894ec0a2%22	https://agrawalpratham.in/_next/static/chunks/pages/_app-bf802c30ed531f2f.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/pages/_app-bf802c30ed531f2f.js	(from https://agrawalpratham.in/)
12:13:50	61806/61806	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5fbfbad7030362a13c2450ad31d102b%22	https://agrawalpratham.in/_next/static/chunks/463-459b25a34d7b1ec4.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/463-459b25a34d7b1ec4.js	(from https://agrawalpratham.in/)
12:13:51	22498/22498	---MCZ	200	added ('OK')	application/javascript	etag:W/%229da67f309c3f985c723d1ac06be684aa%22	https://agrawalpratham.in/_next/static/chunks/pages/index-4f3d896153c3487d.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/chunks/pages/index-4f3d896153c3487d.js	(from https://agrawalpratham.in/)
12:13:51	322/322	---M--	200	added ('OK')	application/javascript	etag:%22d50ddb378b8b6b8fe697112d2b75db1a%22	https://agrawalpratham.in/_next/static/7PRPOgnZ5KxhMP_Ti6AO9/_buildManifest.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/7PRPOgnZ5KxhMP_Ti6AO9/_buildManifest.js	(from https://agrawalpratham.in/)
12:13:52	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://agrawalpratham.in/_next/static/7PRPOgnZ5KxhMP_Ti6AO9/_ssgManifest.js	C:/My%20Web%20Sites/portfolio/agrawalpratham.in/_next/static/7PRPOgnZ5KxhMP_Ti6AO9/_ssgManifest.js	(from https://agrawalpratham.in/)
